Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price
2000-01-01,414134.5,2.77446414075442,2385800000.0,74.94641999999999,5.0,5.869,,29.00437,-0.3,25.51
2000-02-01,,,3907500000.0,75.40388,4.6,5.847,,30.30514,0.7,27.78
2000-03-01,,,1904700000.0,75.93758000000001,4.4,5.65,,32.45818,0.4,27.49
2000-04-01,418776.6,6.3358617239756,2877800000.0,76.01382,4.4,5.574,30.7,31.236,2.6,22.76
2000-05-01,,,4304900000.0,76.31879,4.5,5.768,30.3,31.8918,2.7,27.74
2000-06-01,,,3610300000.0,76.54751999999999,4.4,5.67,33.0,32.26035,3.7,29.8
2000-07-01,419484.3,5.38358190654873,5227600000.0,76.24255,4.2,5.756,35.4,33.18173,2.7,28.68
2000-08-01,,,3504200000.0,76.16631,4.1,5.642,31.5,35.25753,3.6,30.2
2000-09-01,,,6002700000.0,76.7,4.0,5.663,31.7,36.49055,2.1,33.14
2000-10-01,426320.2,3.5361915602816,4732900000.0,76.85249,4.0,5.57,33.5,37.34011,7.6,30.96
2000-11-01,,,3344500000.0,76.92873,4.1,5.489,30.6,35.47297,0.6,32.55
2000-12-01,,,7707700000.0,76.85249,4.1,5.204,29.7,33.81314,3.8,25.66
2001-01-01,419672.4,0.186219739292359,4695700000.0,76.7,4.3,5.088,27.2,35.51633,2.2,25.62
2001-02-01,,,5284800000.0,77.3,4.4,5.062,26.7,35.64235,2.9,27.5
2001-03-01,,,5199500000.0,77.7,4.4,4.945,25.1,32.61942,-0.3,24.5
2001-04-01,422401.3,-0.0742666171556272,5619400000.0,78.0,4.3,5.136,21.2,31.62216,-4.5,25.66
2001-05-01,,,4421100000.0,78.4,4.3,5.348,26.1,33.05165,1.1,28.31
2001-06-01,,,3424200000.0,78.3,4.4,5.328,22.1,33.33484,0.6,27.85
2001-07-01,425218.8,-0.554733727810652,4552300000.0,78.1,4.5,5.315,18.0,32.92293,9.8,24.61
2001-08-01,,,5303200000.0,78.1,4.7,5.12,18.9,32.09505,2.2,25.68
2001-09-01,,,5196700000.0,78.4,4.7,5.113,12.9,27.9055,3.7,25.62
2001-10-01,427371.6,0.481838398813994,5561500000.0,78.5,4.7,4.858,11.2,27.78626,2.3,20.54
2001-11-01,,,6248300000.0,78.3,4.7,4.665,15.0,28.04099,3.4,18.8
2001-12-01,,,2756200000.0,78.5,4.7,4.972,15.6,27.95698,6.4,18.71
2002-01-01,424355.6,2.37918215613382,5869900000.0,78.6,4.6,5.083,18.3,28.48271,5.9,19.42
2002-02-01,,,3696200000.0,79.2,4.4,5.145,22.8,28.79842,4.7,20.28
2002-03-01,,,5085200000.0,79.7,4.3,5.398,25.8,29.74147,4.3,23.7
2002-04-01,425095.4,2.60126347082867,3592000000.0,80.0,4.3,5.403,29.1,28.76183,4.7,25.73
2002-05-01,,,5840500000.0,80.0,4.4,5.417,23.6,28.47593,3.5,25.35
2002-06-01,,,5930600000.0,80.0,4.5,5.271,21.3,27.13046,2.5,24.08
2002-07-01,426946.6,3.38415767943434,3194400000.0,79.8,4.8,5.13,19.5,25.56547,2.8,25.74
2002-08-01,,,4212300000.0,79.9,5.0,4.875,21.9,24.37581,0.9,26.65
2002-09-01,,,4803500000.0,80.3,5.0,4.74,23.6,23.50457,4.2,28.4
2002-10-01,426003.0,2.1394319439324,3993500000.0,80.5,4.9,4.81,21.7,22.17941,3.7,27.54
2002-11-01,,,5104900000.0,80.5,4.8,4.792,19.4,22.62249,2.5,24.34
2002-12-01,,,6292100000.0,80.5,4.7,4.607,18.3,22.45854,3.4,28.33
2003-01-01,427257.1,2.68700072621688,4506900000.0,80.6,4.8,4.426,15.3,22.69972,3.8,31.18
2003-02-01,,,5977800000.0,81.4,5.0,4.21,15.3,20.94504,0.7,32.77
2003-03-01,,,4946400000.0,82.0,5.2,4.264,11.5,20.95182,-1.4,30.61
2003-04-01,423979.2,3.36834480260781,5243700000.0,81.9,5.4,4.409,13.4,23.12112,-0.5,25.0
2003-05-01,,,4788900000.0,81.8,5.6,4.088,15.0,24.10076,2.7,25.86
2003-06-01,,,6761600000.0,81.8,5.6,3.851,20.0,25.30261,5.1,27.65
2003-07-01,425238.9,3.6690647482015,3303500000.0,81.3,5.4,4.166,24.4,25.43133,1.4,28.35
2003-08-01,,,5137100000.0,81.3,5.4,4.351,23.5,27.23885,3.7,29.89
2003-09-01,,,6441700000.0,81.8,5.5,4.4,27.4,29.31466,3.7,27.11
2003-10-01,433434.6,4.73094980137194,3687400000.0,81.6,5.7,4.438,27.6,29.90813,5.2,29.61
2003-11-01,,,4279000000.0,81.8,5.8,4.572,29.7,29.79838,4.7,28.75
2003-12-01,,,4444200000.0,81.6,5.8,4.518,29.1,29.18323,4.8,29.81
2004-01-01,435295.3,3.42998585572836,4566500000.0,81.6,5.8,4.35,36.0,31.20212,7.5,31.28
2004-02-01,,,4479700000.0,82.2,5.7,4.298,28.9,32.69801,5.3,30.86
2004-03-01,,,5736600000.0,82.5,5.5,4.097,32.1,32.65736,5.1,33.63
2004-04-01,438505.0,3.92431674842348,3036200000.0,82.6,5.5,4.301,37.5,31.94736,10.2,33.59
2004-05-01,,,4851800000.0,82.9,5.4,4.463,32.1,30.9501,7.4,37.57
2004-06-01,,,5033800000.0,82.7,5.5,4.532,29.1,31.8647,7.5,35.18
2004-07-01,439372.3,4.54545454545421,2627600000.0,82.4,5.6,4.62,27.8,32.60858,7.3,38.22
2004-08-01,,,3475100000.0,82.2,5.6,4.451,27.8,32.60316,7.6,42.74
2004-09-01,,,4036300000.0,82.7,5.6,4.375,30.6,33.5435,7.7,43.2
2004-10-01,444210.3,6.72413793103535,5020500000.0,83.0,5.4,4.229,34.7,34.09768,7.9,49.78
2004-11-01,,,4964400000.0,82.8,5.3,4.093,33.1,34.61799,8.0,43.11
2004-12-01,,,3738700000.0,82.6,5.3,3.846,37.1,35.27108,8.8,39.6
2005-01-01,442341.7,5.60683760683784,5496000000.0,82.4,5.3,3.735,31.3,36.12336,9.3,44.51
2005-02-01,,,6108900000.0,83.2,5.2,3.64,32.8,38.02708,9.8,45.48
2005-03-01,,,5624100000.0,83.7,5.2,3.815,33.7,39.3563,9.8,53.1
