Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Gross Fixed Capital Formation,industrial_production
2000-01-01,431573.6,2.69761606022587,59200000.0,79.17,10.4,5.66,12.1,98.18359,-1.4,25.51,72205.0,108.8
2000-04-01,436351.6,3.03781773093617,-87100000.0,79.64,9.9,5.33,9.5,105.852,0.2,22.76,74597.0,110.5
2000-07-01,439735.1,4.4637321760695,-974100000.0,79.87,9.4,5.4,10.0,110.7003,1.2,28.68,75958.4,111.7
2000-10-01,442404.9,6.07361963190196,-2585300000.0,80.33,9.0,5.36,12.3,105.3168,-0.8,30.96,78509.0,112.2
2001-01-01,444705.3,7.14722052535131,-1125000000.0,80.13,8.7,4.94,10.8,99.78284,2.0,25.62,79314.6,112.5
2001-04-01,444806.3,7.88206979542725,-538000000.0,81.1,8.7,5.0,11.4,91.85268,-1.4,25.66,79840.1,111.9
2001-07-01,447374.2,6.05341246290789,-581100000.0,81.48,8.8,5.15,1.2,86.31496,-4.7,24.61,79725.4,111.2
2001-10-01,445419.9,4.10641989589353,532900000.00000006,81.68,8.8,4.72,-7.5,73.33598,-6.5,20.54,79881.7,111.6
2002-01-01,447965.5,2.56556442417328,-382200000.0,81.94,8.8,4.93,-5.7,79.00004,-4.0,19.42,80154.2,110.8
2002-04-01,450066.7,1.89626324595651,324300000.0,82.71,8.7,5.24,4.7,80.50818,-5.4,25.73,79575.9,112.5
2002-07-01,451949.6,3.24566312255179,846400000.0,82.8,8.6,4.96,-2.9,62.83196,-4.3,25.74,80042.6,110.5
2002-10-01,452340.9,2.44444444444445,291400000.0,83.27,8.6,4.55,-5.3,53.45279,-5.3,27.54,80597.9,110.2
2003-01-01,453713.7,2.33463035019448,-1149000000.0,83.57,8.2,4.22,-5.2,54.84589,-6.8,31.18,81705.1,110.8
2003-04-01,451692.6,0.93048713738364,-699100000.0,84.37,8.5,4.22,-9.7,51.73661,-10.0,25.0,82206.5,111.0
2003-07-01,456593.9,0.487804878048803,-231100000.0,84.34,8.5,4.01,-5.2,56.91606,-9.6,28.35,82346.8,109.8
2003-10-01,458173.5,0.704989154013069,-678700000.0,85.04,8.7,4.28,-3.2,60.81502,-10.0,29.61,84489.1,111.9
2004-01-01,463154.2,1.79250407387292,36400000.0,85.23,8.9,4.2,9.0,66.3772,-6.2,31.28,84535.9,111.2
2004-04-01,465171.2,2.76572668112807,-984800000.0,86.15,8.8,4.18,7.1,68.79276,-9.6,33.59,86253.6,111.9
2004-07-01,466826.0,1.9956850053938,-782300000.0,86.36,8.8,4.27,8.6,66.76049,-7.9,38.22,87457.1,112.8
2004-10-01,470971.0,3.06946688206775,-2422500000.0,86.85,8.9,3.98,7.1,68.06032,-6.5,49.78,88346.4,113.8
2005-01-01,472416.0,4.37566702241201,-1428900000.0,86.52,8.7,3.58,8.8,71.6784,-8.3,44.51,90097.7,114.1
2005-04-01,473414.5,3.06068601583103,-3357700000.0,87.77,8.7,3.54,6.6,74.97421,-10.1,51.88,91264.3,113.2
2005-07-01,477006.7,3.75462718138546,-2543900000.0,87.8,8.9,3.27,11.3,81.40564,-11.3,57.52,92370.4,111.3
2005-10-01,480315.3,4.07523510971801,-2629400000.0,88.46,9.1,3.29,9.8,83.93516,-12.5,58.54,94473.3,110.3
2006-01-01,484539.5,2.30061349693249,-3245100000.0,88.3,9.2,3.34,9.5,91.27856,-9.1,62.99,95918.9,112.6
2006-04-01,490331.5,3.43061955965187,-3271200000.0,89.27,9.0,3.95,9.5,98.47603,-7.5,70.26,97900.0,113.3
2006-07-01,490669.3,3.72069317023447,-3657000000.0,89.5,9.0,4.03,10.4,92.85659,-8.8,73.67,100944.5,113.3
2006-10-01,493384.8,3.01204819277094,-2654800000.0,89.4,8.5,3.81,11.3,101.0671,-6.7,57.81,102165.3,113.5
2007-01-01,498533.3,4.04797601199405,-3281100000.0,89.4,8.5,4.07,11.0,106.8663,-6.8,53.68,104223.1,113.4
2007-04-01,501762.9,3.81188118811886,-3749500000.0,90.39,8.2,4.21,11.3,112.0622,-5.8,67.49,106987.0,113.4
2007-07-01,503359.1,4.22604422604429,-4884300000.0,90.49,8.1,4.58,12.4,114.2116,-2.4,76.93,108678.4,116.0
2007-10-01,503931.4,3.70370370370376,-4186700000.0,91.19,7.7,4.4,11.5,110.7067,-7.1,82.34,110587.4,116.8
2008-01-01,508302.9,1.96926032660898,-4862300000.0,91.92,7.2,4.15,10.0,97.47723,-14.6,92.18,111986.7,115.8
2008-04-01,504459.3,1.1444921316166,-5120300000.0,93.12,7.3,4.27,9.2,93.04339,-15.6,109.07,115424.9,118.1
2008-07-01,503220.5,0.28288543140027,-6793400000.0,93.76,7.5,4.69,-0.4,81.34651,-19.9,132.72,115240.2,113.0
2008-10-01,496876.7,0.14097744360908,-6841300000.0,93.62,7.6,4.18,-9.4,65.51549,-19.8,71.58,114657.2,109.0
2009-01-01,487565.2,0.282618935468659,-4582500000.0,92.57,8.3,3.6,-20.0,58.65347,-18.0,43.44,110763.5,98.0
2009-04-01,488396.9,0.990099009900969,-4803500000.0,93.24,9.1,3.66,-27.8,57.11496,-15.6,50.18,105720.1,95.0
2009-07-01,489183.2,0.470145745181005,-3056800000.0,93.08,9.1,3.73,-17.1,61.24561,-13.4,64.44,103217.9,97.1
2009-10-01,492751.5,1.3608634443923,-4970500000.0,93.42,9.5,3.56,-10.1,72.6264,-10.4,72.77,102640.8,98.5
2010-01-01,494386.6,1.97275716298737,-4169600000.0,93.59,9.5,3.52,-4.6,75.07339,-8.2,76.17,104162.6,99.9
2010-04-01,496640.9,2.75443510737627,-5458500000.0,94.81,9.3,3.4,-1.7,76.90999,-12.3,84.82,104783.7,101.0
2010-07-01,499891.9,4.21151146467007,-5524800000.0,94.64,9.2,2.99,2.7,69.03223,-14.8,75.58,106053.0,102.1
2010-10-01,502970.7,4.12037037037036,-4396800000.0,94.91,9.2,2.72,2.8,74.4689,-12.5,82.67,108014.3,102.4
2011-01-01,509564.7,5.02072777521876,-7342500000.0,95.22,9.2,3.44,5.9,78.06924,-14.5,96.52,109067.3,106.1
2011-04-01,509581.3,3.72557928214441,-7978700000.0,96.78,9.1,3.69,8.9,79.38682,-16.5,123.26,110175.8,103.5
2011-07-01,511187.2,2.51459362370898,-7676300000.0,96.48,9.2,3.4,6.7,76.09155,-15.0,116.97,111192.5,105.1
2011-10-01,513078.1,2.17874610938185,-7469800000.0,97.14,9.3,2.99,-2.2,63.06042,-16.2,109.55,112129.3,103.7
2012-01-01,512817.0,2.23684210526311,-6356100000.0,97.46,9.5,3.18,-3.5,64.98276,-18.8,110.69,113638.2,103.0
2012-04-01,510730.9,1.57687253613663,-7551800000.0,98.8,9.6,2.99,-4.0,65.93425,-13.5,119.75,113684.6,103.7
2012-07-01,512296.0,2.58431887866841,-6189400000.0,98.35,9.7,2.28,-11.3,64.64759,-15.7,102.62,112749.0,102.3
2012-10-01,512255.1,1.95822454308092,-6333400000.0,98.94,10.0,2.19,-12.6,69.35961,-19.3,111.71,112938.7,100.4
2013-01-01,513199.8,1.15830115830122,-7008300000.0,98.6,10.4,2.17,-11.4,75.24918,-19.2,112.96,112516.5,101.1
2013-04-01,517699.7,2.06985769728334,-5829800000.0,99.48,10.5,1.8,-14.6,75.66122,-19.3,102.25,111940.8,104.1
2013-07-01,516490.7,1.92143467122128,-6881000000.0,99.4,10.3,2.25,-12.9,78.66272,-19.3,107.93,112640.7,101.5
