Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
2000-01-01,44503.5,6.31011270423075,-1622400000.0,69.93342,11.5,6.6,41.8,724.2747,-1.5,25.51,127.9
2000-02-01,,,-1670500000.0,69.78517,11.6,6.49,43.4,731.8682,-1.4,27.78,128.2
2000-03-01,,,-1826100000.0,71.49325,11.6,6.24,44.0,664.7853,-5.4,27.49,130.1
2000-04-01,45131.4,8.43644408270775,-1854500000.0,71.83856,11.5,6.11,54.2,620.3043,0.5,22.76,130.5
2000-05-01,,,-2157000000.0,72.04763,11.5,6.22,52.2,623.2281,-0.2,27.74,127.1
2000-06-01,,,-2180200000.0,71.77039,11.4,6.06,50.4,588.9645,-3.9,29.8,128.8
2000-07-01,45870.0,11.5633717862941,-2129500000.0,70.51872,11.3,6.08,56.2,546.1603,-4.7,28.68,126.9
2000-08-01,,,-2114200000.0,70.62862,11.2,6.04,56.2,509.8024,-12.3,30.2,131.7
2000-09-01,,,-1993500000.0,72.09966,11.2,6.05,56.8,553.6376,-6.6,33.14,125.7
2000-10-01,46473.5,9.12287295236888,-2014800000.0,72.922,10.6,5.97,51.8,520.9277,-13.0,30.96,128.3
2000-11-01,,,-1940800000.0,73.2589,10.7,5.87,52.8,472.8473,-17.3,32.55,127.7
2000-12-01,,,-1949900000.0,73.48741,10.6,5.54,54.3,475.2253,-13.9,25.66,129.3
2001-01-01,47210.7,6.07857368250882,-2107500000.0,72.31429,10.5,5.35,21.0,430.2661,-15.9,25.62,131.5
2001-02-01,,,-1793800000.0,72.24261,10.5,5.35,22.5,429.9134,-18.9,27.5,129.1
2001-03-01,,,-1815800000.0,73.65901,10.5,5.28,23.2,422.1349,-17.8,24.5,121.9
2001-04-01,47100.0,3.25618157836129,-2172300000.0,74.35207,10.7,5.39,50.7,426.8139,-16.0,25.66,120.3
2001-05-01,,,-1882900000.0,74.66629,10.7,5.54,48.5,425.3452,-18.8,28.31,123.8
2001-06-01,,,-2378800000.0,74.58658,10.7,5.48,46.8,384.1272,-18.5,27.85,121.5
2001-07-01,47947.8,2.65701447739715,-2026800000.0,73.28421,10.7,5.52,46.6,347.7342,-18.0,24.61,120.9
2001-08-01,,,-1794600000.0,73.30228000000001,10.6,5.33,46.9,367.1123,-18.0,25.68,122.8
2001-09-01,,,-1792900000.0,74.70239000000001,10.6,5.31,47.4,319.5088,-13.3,25.62,121.1
2001-10-01,48274.5,2.17894736842082,-1877200000.0,74.93904,10.9,5.07,-1.0,312.1586,-17.9,20.54,122.4
2001-11-01,,,-1812400000.0,75.01865,10.9,4.9,0.0,361.3091,-12.8,18.8,124.1
2001-12-01,,,-2589200000.0,75.72511999999999,10.8,5.13,2.1,353.6306,-13.8,18.71,113.7
2002-01-01,48717.9,3.70236946951312,-1901600000.0,75.52201,10.7,5.23,-2.0,349.7704,-7.4,19.42,121.2
2002-02-01,,,-2099400000.0,74.7225,10.7,5.31,6.1,333.5769,-9.9,20.28,124.4
2002-03-01,,,-1971700000.0,76.6127,10.7,5.51,3.2,319.5764,-11.7,23.7,122.3
2002-04-01,49884.0,4.98584527354704,-2097100000.0,77.20279000000001,10.3,5.51,0.9,298.562,-20.8,25.73,124.1
2002-05-01,,,-2067200000.0,77.19394,10.3,5.52,2.6,311.7641,-16.3,25.35,119.2
2002-06-01,,,-2000600000.0,77.05561,10.3,5.36,2.9,303.8031,-17.9,24.08,121.4
2002-07-01,50242.9,6.39166109622759,-2278000000.0,75.73087,10.3,5.21,-0.7,288.7635,-11.5,25.74,121.5
2002-08-01,,,-2100400000.0,75.90038,10.2,4.95,-1.6,290.0161,-13.1,26.65,119.5
2002-09-01,,,-2346600000.0,77.33344,10.2,4.73,-4.3,264.7308,-16.6,28.4,119.6
2002-10-01,50674.7,5.49003155724417,-2480500000.0,77.73438,10.0,4.79,-4.0,241.3263,-16.3,27.54,122.8
2002-11-01,,,-2399200000.0,77.7511,10.0,4.76,-3.9,248.3293,-16.8,24.34,122.9
2002-12-01,,,-2603400000.0,78.29032,10.0,4.58,0.7,244.1758,-17.0,28.33,122.8
2003-01-01,51637.8,6.03675625491959,-2485400000.0,77.89012,9.8,4.43,1.5,231.2549,-18.0,31.18,121.9
2003-02-01,,,-2400100000.0,77.96507,9.7,4.24,-4.9,224.9774,-19.3,32.77,119.7
2003-03-01,,,-2554500000.0,79.73579000000001,9.7,4.26,-8.7,207.495,-24.9,30.61,120.3
2003-04-01,52568.1,4.14994650669878,-2465800000.0,79.80904,9.7,4.38,-11.3,217.3597,-22.1,25.0,122.0
2003-05-01,,,-2476400000.0,80.14147,9.7,4.02,4.6,232.7614,-20.3,25.86,122.4
2003-06-01,,,-2353800000.0,79.99426,9.7,3.81,7.9,254.6161,-23.2,27.65,123.4
2003-07-01,52943.2,4.91835094404762,-2228000000.0,78.45118000000001,9.7,4.12,8.4,275.4535,-21.9,28.35,123.3
2003-08-01,,,-2274900000.0,78.41906999999999,9.7,4.29,9.8,298.3175,-21.0,29.89,117.5
2003-09-01,,,-2920700000.0,79.91298,9.7,4.32,11.0,279.5947,-24.0,27.11,125.0
